正面;背面
"第1题
【判断题】道德评价的关键是看其行为是否符合社会道德规范。";"【答案】√

【题目】
【判断题】道德评价的关键是看其行为是否符合社会道德规范。"
"第2题
【判断题】人工智能训练师在处理敏感数据时，可以不经用户同意直接使用这些数据进";"【答案】×

【题目】
【判断题】人工智能训练师在处理敏感数据时，可以不经用户同意直接使用这些数据进"
"第3题
【判断题】随着全球化的发展，职业道德也呈现出单一化的趋势，不同国家和地区的职";"【答案】×

【题目】
【判断题】随着全球化的发展，职业道德也呈现出单一化的趋势，不同国家和地区的职"
"第4题
【判断题】人工智能训练师在职业道德建设中，无需考虑数据的质量与适用性，只需关";"【答案】×

【题目】
【判断题】人工智能训练师在职业道德建设中，无需考虑数据的质量与适用性，只需关"
"第5题
【判断题】人工智能训练师在开发和训练AI模型时，不需要对模型可能产生的歧视性";"【答案】×

【题目】
【判断题】人工智能训练师在开发和训练AI模型时，不需要对模型可能产生的歧视性"
"第6题
【判断题】人工智能训练师的职业道德不包括对用户隐私的保护。";"【答案】×

【题目】
【判断题】人工智能训练师的职业道德不包括对用户隐私的保护。"
"第7题
【判断题】人工智能训练师的主要任务是设计和开发新的算法。";"【答案】×

【题目】
【判断题】人工智能训练师的主要任务是设计和开发新的算法。"
"第8题
【判断题】职业守则仅仅是一种软约束，不具备法律效力。";"【答案】√

【题目】
【判断题】职业守则仅仅是一种软约束，不具备法律效力。"
"第9题
【判断题】职业守则的特点之一是具有普遍性，适用于所有行业。";"【答案】×

【题目】
【判断题】职业守则的特点之一是具有普遍性，适用于所有行业。"
"第10题
【判断题】职业守则核心内容不包括遵守法律。";"【答案】×

【题目】
【判断题】职业守则核心内容不包括遵守法律。"
"第11题
【判断题】人工智能训练师在制定职业守则的过程中，应该充分考虑到人工智能技术";"【答案】√

【题目】
【判断题】人工智能训练师在制定职业守则的过程中，应该充分考虑到人工智能技术"
"第12题
【判断题】职业守则的实施与监督应该完全依靠员工个人的自觉性。";"【答案】×

【题目】
【判断题】职业守则的实施与监督应该完全依靠员工个人的自觉性。"
"第13题
【判断题】职业守则中的奉献社会是指从业人员在工作中要正确处理个人利益和社会";"【答案】×

【题目】
【判断题】职业守则中的奉献社会是指从业人员在工作中要正确处理个人利益和社会"
"第14题
【判断题】从业人员能否做到爱岗敬业，取决于他是否具有过硬的专业技能。";"【答案】×

【题目】
【判断题】从业人员能否做到爱岗敬业，取决于他是否具有过硬的专业技能。"
"第15题
【判断题】人工智能训练师在训练过程中，可以根据自己的经验和直觉来调整模型参";"【答案】×

【题目】
【判断题】人工智能训练师在训练过程中，可以根据自己的经验和直觉来调整模型参"
"第16题
【判断题】语音输入是Windows输入法的一种智能应用。";"【答案】√

【题目】
【判断题】语音输入是Windows输入法的一种智能应用。"
