【3.1.1】智能音箱-用户使用习惯分析<br>分析哪些功能最常被使用<br><br>📊 数据结构：<br>• 列A：用户ID<br>• 列B：时间戳<br>• 列C：功能调用类型<br>• 列D：响应时间<br><br>📋 数据示例（前3行）：<br>用户ID | 时间戳 | 功能调用类型 | 响应时间<br>47 | 2023-03-26 02:22:30 | 播放音乐 | 1.53<br>92 | 2023-04-15 19:44:05 | 查天气 | 1.97<br>33 | 2023-02-28 13:45:13 | 提醒事项 | 2.61<br><br>【Excel操作】;【Excel操作详细步骤】<br><br>🔧 方法1：数据透视表（推荐）<br>1. 选中A1:D1001（Ctrl+A）<br>2. 插入 → 数据透视表 → 新工作表<br>3. 将"功能调用类型"拖到"行"区域<br>4. 将"功能调用类型"拖到"值"区域<br>5. 右键值字段 → 值字段设置 → 选择"计数"<br>6. 右键计数结果 → 排序 → 降序<br>7. 查看前3个功能<br><br>🔧 方法2：COUNTIF函数<br>=COUNTIF(C:C, "调整音量")<br>=COUNTIF(C:C, "查询新闻")<br>=COUNTIF(C:C, "查天气")<br>对每个功能计数后比较大小<br><br>━━━━━━━━━━━━━━━━<br><br>【标准答案】<br>最常被使用的功能（前3个）：<br>1. 调整音量<br>2. 查询新闻<br>3. 查天气<br><br>━━━━━━━━━━━━━━━━<br><br>【Python验证脚本】<br><pre>import pandas as pd<br>df = pd.read_excel('template/3.1.1/智能音箱数据集.xlsx')<br>print(df['功能调用类型'].value_counts())</pre>
【3.1.1】智能音箱-功能使用频率分析<br>识别最受欢迎的功能和较少使用的功能<br><br>📊 数据结构：<br>• 列C：功能调用类型<br><br>📋 数据示例：<br>功能调用类型：播放音乐、查天气、提醒事项、调整音量、查询新闻、控制家居、查询知识<br><br>【Excel操作】;【Excel操作详细步骤】<br><br>🔧 方法1：数据透视表<br>1. 插入 → 数据透视表<br>2. 行：功能调用类型（列C）<br>3. 值：功能调用类型（计数）<br>4. 排序：降序<br>5. 最高=最受欢迎，最低2个=较少使用<br><br>🔧 方法2：COUNTIF函数<br>=COUNTIF(C:C, "调整音量")  → 最多<br>=COUNTIF(C:C, "播放音乐")  → 较少<br>=COUNTIF(C:C, "控制家居")  → 较少<br><br>━━━━━━━━━━━━━━━━<br><br>【标准答案】<br>最受欢迎的功能：调整音量<br>较少使用的功能：<br>• 播放音乐<br>• 控制家居<br><br>━━━━━━━━━━━━━━━━<br><br>【Python验证脚本】<br><pre>import pandas as pd<br>df = pd.read_excel('template/3.1.1/智能音箱数据集.xlsx')<br>counts = df['功能调用类型'].value_counts()<br>print('最受欢迎:', counts.index[0])<br>print('较少使用:', counts.index[-2:].tolist())</pre>
【3.1.1】智能音箱-响应时间分析<br>考察不同功能的平均响应时间，找出可能的瓶颈<br><br>📊 数据结构：<br>• 列C：功能调用类型<br>• 列D：响应时间<br><br>📋 数据示例：<br>功能调用类型 | 响应时间<br>播放音乐 | 1.53<br>查天气 | 1.97<br>提醒事项 | 2.61<br><br>【Excel操作】;【Excel操作详细步骤】<br><br>🔧 方法1：数据透视表<br>1. 插入 → 数据透视表<br>2. 行：功能调用类型（列C）<br>3. 值：响应时间（列D）<br>4. 右键值字段 → 值字段设置 → 选择"平均值"<br>5. 排序：降序<br>6. 按数值分长/中/短三档<br><br>🔧 方法2：AVERAGEIF函数<br>=AVERAGEIF(C:C, "控制家居", D:D)<br>=AVERAGEIF(C:C, "查询知识", D:D)<br>=AVERAGEIF(C:C, "调整音量", D:D)<br>=AVERAGEIF(C:C, "查询新闻", D:D)<br><br>━━━━━━━━━━━━━━━━<br><br>【标准答案】<br>响应时间较长的功能：控制家居<br>响应时间适中的功能：查询知识、调整音量、提醒事项<br>响应时间较短的功能：查询新闻<br><br>━━━━━━━━━━━━━━━━<br><br>【Python验证脚本】<br><pre>import pandas as pd<br>df = pd.read_excel('template/3.1.1/智能音箱数据集.xlsx')<br>print(df.groupby('功能调用类型')['响应时间'].mean().sort_values(ascending=False))</pre>
【3.1.1】智能音箱-优化方向及解决方案<br>给出3个优化方向和对应解决方案<br><br>📊 数据结构：<br>• 基于前面3个任务的分析结果<br><br>【Excel操作】;【标准答案】<br><br><b>优化方向1：</b>网络连接与设备交互优化<br><b>解决方案1：</b>强化网络连接稳定性，采用更高效的通信协议，减少控制家居功能的响应时间<br><br><b>优化方向2：</b>提升信息检索效率<br><b>解决方案2：</b>优化查询知识的检索算法，加快数据处理速度，提升用户体验<br><br><b>优化方向3：</b>用户界面与语音识别优化<br><b>解决方案3：</b>提升语音识别准确率，简化用户界面设计，确保用户能够快速、准确地调用所需功能<br><br>━━━━━━━━━━━━━━━━<br><br>【Python验证脚本】<br><pre># 此题为文字题，无需Python验证<br># 基于前面分析结果给出优化方案</pre>
【3.1.2】智能照明-用户使用习惯分析<br>分析用户在一天中不同时段对灯光亮度和颜色的偏好<br><br>📊 数据结构：<br>• 列A：数据记录的时间戳（如 2024-07-19 23:57:05.455）<br>• 列B：用户标识符<br>• 列C：光线亮度值（0-100）<br>• 列D：色温值（1000K-6500K）<br>• 列E：使用的场景<br>• 列F：响应时间（秒）<br><br>📋 数据示例（前3行）：<br>时间戳 | 用户标识符 | 光线亮度 | 色温 | 场景 | 响应时间<br>2024-07-19 23:57:05 | User_52 | 33 | 1165 | Sleep Mode | 0.61<br>2024-07-19 23:56:05 | User_93 | 7 | 2567 | Sleep Mode | 0.40<br>2024-07-19 23:55:05 | User_15 | 39 | 6420 | Relax Mode | 1.72<br><br>【Excel操作】;【Excel操作详细步骤】<br><br>🔧 步骤1：提取小时<br>在G2单元格输入：<br>=HOUR(A2)<br>下拉填充到整列<br>结果：23, 23, 23, ...<br><br>🔧 步骤2：定义时间段<br>在H2单元格输入：<br>=IF(AND(G2>=6,G2<=11),"06:00-11:00",IF(AND(G2>=12,G2<=17),"12:00-17:00",IF(AND(G2>=18,G2<=23),"18:00-23:00","00:00-05:00")))<br>下拉填充到整列<br><br>🔧 步骤3：数据透视表<br>1. 选中A1:H1001<br>2. 插入 → 数据透视表 → 新工作表<br>3. 行：时间段（列H）<br>4. 值：光线亮度（列C）→ 平均值<br>5. 值：色温值（列D）→ 平均值<br><br>🔧 步骤4：验证（AVERAGEIFS函数）<br>=AVERAGEIFS(C:C, H:H, "06:00-11:00")<br>=AVERAGEIFS(D:D, H:H, "06:00-11:00")<br><br>━━━━━━━━━━━━━━━━<br><br>【标准答案】<br>平均光线亮度值和平均色温值：<br>• 06:00-12:00：51.74, 3689.52<br>• 12:00-18:00：49.93, 3732.40<br>• 18:00-24:00：48.06, 3661.35<br><br>━━━━━━━━━━━━━━━━<br><br>【Python验证脚本】<br><pre>import pandas as pd<br>df = pd.read_excel('template/3.1.2/智能照明系统数据集.xlsx')<br>df['hour'] = pd.to_datetime(df['数据记录的时间戳']).dt.hour<br>def get_period(h):<br>    if 6<=h<=11: return '06:00-11:00'<br>    if 12<=h<=17: return '12:00-17:00'<br>    if 18<=h<=23: return '18:00-23:00'<br>    return '00:00-05:00'<br>df['period'] = df['hour'].apply(get_period)<br>print(df.groupby('period')[['光线亮度值（0-100）', '色温值（1000K-6500K）']].mean())</pre>
【3.1.2】智能照明-智能场景使用频率<br>识别哪些智能场景被频繁使用，哪些较少使用<br><br>📊 数据结构：<br>• 列E：使用的场景（Relax Mode, Reading Mode, Work Mode, Sleep Mode）<br><br>📋 数据示例：<br>使用的场景：Sleep Mode, Sleep Mode, Relax Mode, ...<br><br>【Excel操作】;【Excel操作详细步骤】<br><br>🔧 方法1：数据透视表<br>1. 插入 → 数据透视表<br>2. 行：使用的场景（列E）<br>3. 值：使用的场景（计数）<br>4. 排序：降序<br>5. 按数量分频繁/适中/较少<br><br>🔧 方法2：COUNTIF函数<br>=COUNTIF(E:E, "Relax Mode")     → 最多<br>=COUNTIF(E:E, "Reading Mode")  → 适中<br>=COUNTIF(E:E, "Work Mode")     → 适中<br>=COUNTIF(E:E, "Sleep Mode")    → 最少<br><br>━━━━━━━━━━━━━━━━<br><br>【标准答案】<br>频繁使用的场景：Relax Mode<br>适中使用的场景：Reading Mode, Work Mode<br>较少使用的场景：Sleep Mode<br><br>━━━━━━━━━━━━━━━━<br><br>【Python验证脚本】<br><pre>import pandas as pd<br>df = pd.read_excel('template/3.1.2/智能照明系统数据集.xlsx')<br>print(df['使用的场景'].value_counts())</pre>
【3.1.2】智能照明-响应时间分析<br>考察平均响应时间，找出可能的延迟瓶颈<br><br>📊 数据结构：<br>• 列F：响应时间（秒）<br><br>📋 数据示例：<br>响应时间（秒）：0.61, 0.40, 1.72, ...<br><br>【Excel操作】;【Excel操作详细步骤】<br><br>🔧 计算平均响应时间：<br>=AVERAGE(F:F)  → 1.06<br><br>━━━━━━━━━━━━━━━━<br><br>【标准答案】<br>平均响应时间：1.06秒<br>延迟瓶颈：网络延迟、系统处理能力<br><br>━━━━━━━━━━━━━━━━<br><br>【Python验证脚本】<br><pre>import pandas as pd<br>df = pd.read_excel('template/3.1.2/智能照明系统数据集.xlsx')<br>print(df['响应时间（秒）'].mean())</pre>
【3.1.2】智能照明-优化方向及解决方案<br>给出3个优化方向和对应解决方案<br><br>📊 数据结构：<br>• 基于前面3个任务的分析结果<br><br>【Excel操作】;【标准答案】<br><br><b>优化方向1：</b>提高系统处理能力（或提高系统的响应速度）<br><b>解决方案1：</b>优化系统算法，减少不必要的计算步骤；升级硬件性能，特别是处理器和网络连接部分；对常用场景进行预加载<br><br><b>优化方向2：</b>提供个性化用户服务<br><b>解决方案2：</b>利用机器学习算法分析用户行为模式，预测用户需求；增加用户自定义选项，允许创建自己的智能场景<br><br><b>优化方向3：</b>增强系统的可靠性和安全性<br><b>解决方案3：</b>集成自我诊断工具，自动检测潜在问题并提醒用户维护<br><br>━━━━━━━━━━━━━━━━<br><br>【Python验证脚本】<br><pre># 此题为文字题，无需Python验证<br># 基于前面分析结果给出优化方案</pre>
【3.1.3】智能手环-用户活动模式<br>分析用户在一周内不同时间段的活动水平，识别高峰时段和低谷时段<br><br>📊 数据结构：<br>• 列A：用户（User_1, User_2, ...）<br>• 列B：日期（如 2024-09-15 00:00:00）<br>• 列C：步数<br><br>📋 数据示例（前3行）：<br>用户 | 日期 | 步数<br>User_1 | 2024-09-15 00:00:00 | 0<br>User_1 | 2024-09-15 01:00:00 | 0<br>User_1 | 2024-09-15 02:00:00 | 0<br><br>【Excel操作】;【Excel操作详细步骤】<br><br>🔧 步骤1：提取小时<br>在D2单元格输入：<br>=HOUR(B2)<br>下拉填充到整列<br><br>🔧 步骤2：定义时间段（⚠️ 包含边界）<br>在E2单元格输入：<br>=IF(AND(D2>=6,D2<=8),"06:00-08:00",IF(AND(D2>=17,D2<=20),"17:00-20:00","其余时段"))<br>下拉填充到整列<br><br>🔧 步骤3：筛选步数>0的数据<br>1. 选中A1:E16801<br>2. 数据 → 筛选（Ctrl+Shift+L）<br>3. 列C（步数）→ 数字筛选 → 大于 → 0<br><br>🔧 步骤4：数据透视表<br>1. 选中筛选后的数据<br>2. 插入 → 数据透视表<br>3. 行：时间段（列E）<br>4. 值：步数（列C）→ 平均值<br><br>🔧 步骤5：验证（AVERAGEIFS函数）<br>=AVERAGEIFS(C:C, E:E, "06:00-08:00")  → 5068.10<br>=AVERAGEIFS(C:C, E:E, "17:00-20:00")  → 5005.65<br>=AVERAGEIFS(C:C, E:E, "其余时段")    → 1101.25<br><br>━━━━━━━━━━━━━━━━<br><br>【标准答案】<br>用户平均步数：<br>• 06:00-08:00：5068.10（高峰）<br>• 17:00-20:00：5005.65（高峰）<br>• 其余时段：1101.25（低谷，步数为0时段不计入）<br><br>━━━━━━━━━━━━━━━━<br><br>【Python验证脚本】<br><pre>import pandas as pd<br>df = pd.read_excel('template/3.1.3/智能健康手环数据集.xlsx')<br>df_active = df[df['步数'] > 0]<br>df_active['hour'] = pd.to_datetime(df_active['日期']).dt.hour<br>def get_period(h):<br>    if 6<=h<=8: return '06:00-08:00'<br>    if 17<=h<=20: return '17:00-20:00'<br>    return '其余时段'<br>df_active['period'] = df_active['hour'].apply(get_period)<br>print(df_active.groupby('period')['步数'].mean())</pre>
【3.1.3】智能手环-健康指标关注度<br>识别哪些健康指标最受用户关注，哪些较少被查看<br><br>📊 数据结构：<br>• 列A：用户<br>• 列B：日期<br>• 列C：步数<br><br>📋 数据示例：<br>步数列包含大量数据，心率和睡眠时长数据较少<br><br>【Excel操作】;【Excel操作详细步骤】<br><br>🔧 比较各指标的数据完整度：<br>=COUNTA(C:C)  → 步数列非空数量（最多）<br><br>💡 提示：<br>• 数据量越多=越受关注<br>• 步数数据最完整，说明最受关注<br>• 心率、睡眠时长数据较少，说明较少关注<br><br>━━━━━━━━━━━━━━━━<br><br>【标准答案】<br>最受关注的指标：步数<br>较少关注的指标：心率、睡眠时长<br><br>━━━━━━━━━━━━━━━━<br><br>【Python验证脚本】<br><pre>import pandas as pd<br>df = pd.read_excel('template/3.1.3/智能健康手环数据集.xlsx')<br>for col in df.columns:<br>    if col not in ['用户', '日期']:<br>        print(f'{col}: {df[col].notna().sum()}条')</pre>
【3.1.3】智能手环-数据同步性能<br>评估手环与手机应用之间数据传输的平均延迟，找出影响因素<br><br>📊 数据结构：<br>• 包含同步延迟列<br><br>📋 数据示例：<br>同步延迟数据...<br><br>【Excel操作】;【Excel操作详细步骤】<br><br>🔧 计算平均延迟：<br>=AVERAGE(同步延迟列)  → 0.70<br><br>━━━━━━━━━━━━━━━━<br><br>【标准答案】<br>平均延迟时间：0.70秒<br>影响因素：<br>• 蓝牙连接稳定性<br>• 手环与手机之间的距离<br><br>━━━━━━━━━━━━━━━━<br><br>【Python验证脚本】<br><pre>import pandas as pd<br>df = pd.read_excel('template/3.1.3/智能健康手环数据集.xlsx')<br>sync_col = [c for c in df.columns if '同步' in c or '延迟' in c]<br>if sync_col:<br>    print(df[sync_col[0]].mean())</pre>
